condition,seed,class,brier,nll,ece,calibration_slope,calibration_intercept,bin_counts
C1_crop_only,2026,Hernia,0.04243054040034501,0.22538332749348755,0.1984544164744566,4.307220026975268,-1.714929022531393,"[5, 8886, 7019, 331, 28, 12, 3, 2, 0, 0]"
C2_bce_only,42,Atelectasis,0.0771925894960952,0.2634450126780423,0.023934167430031923,0.9134937704440663,0.15557124016197602,"[12405, 2057, 873, 443, 241, 138, 74, 37, 17, 1]"
C2_bce_only,42,Cardiomegaly,0.01986840969135517,0.07885711641758557,0.01893570187795469,0.9761907931948066,-0.8489781110097464,"[14584, 834, 345, 207, 128, 86, 43, 38, 21, 0]"
C2_bce_only,42,Effusion,0.06785740649818782,0.22867640265592176,0.009933199592195747,0.93735091663357,-0.14112562785492017,"[11432, 1724, 904, 628, 452, 414, 368, 281, 83, 0]"
C2_bce_only,42,Infiltration,0.12269122446596298,0.39870880586271645,0.019591415624186405,1.0523025548310738,-0.08379529511660586,"[4520, 6376, 2950, 1318, 772, 306, 44, 0, 0, 0]"
C2_bce_only,42,Mass,0.036161889730944106,0.13963419691196247,0.01252876901869827,0.9148556916457788,0.20245817003212235,"[14934, 621, 253, 176, 115, 86, 59, 35, 7, 0]"
C2_bce_only,42,Nodule,0.04576118338327224,0.17870338992337936,0.01935936943143805,0.9144530437862488,0.27171945477200915,"[15137, 578, 231, 131, 108, 77, 21, 3, 0, 0]"
C2_bce_only,42,Pneumonia,0.011392357878265813,0.05759595971786648,0.0011348730099803512,0.9714071994613208,-0.19840731729609623,"[16181, 102, 3, 0, 0, 0, 0, 0, 0, 0]"
C2_bce_only,42,Pneumothorax,0.038956300623734744,0.13928605104590192,0.008256605718146877,0.8629323131329302,-0.2508110082732346,"[14279, 654, 383, 283, 214, 197, 163, 88, 21, 4]"
C2_bce_only,42,Consolidation,0.034595326923283015,0.139832109063451,0.008663125305016577,0.8958783302768101,-0.019282636506856216,"[15059, 1119, 101, 7, 0, 0, 0, 0, 0, 0]"
C2_bce_only,42,Edema,0.016072338700325307,0.06430855220041966,0.0023522083481843288,0.983254639874128,-0.1738705824857676,"[15382, 510, 223, 116, 30, 15, 10, 0, 0, 0]"
C2_bce_only,42,Emphysema,0.01815930403557377,0.06898733396111414,0.003945923811738916,0.9106498401429173,-0.2968158629819233,"[15424, 252, 141, 129, 94, 82, 63, 59, 39, 3]"
C2_bce_only,42,Fibrosis,0.015240039943066497,0.06997246640345534,0.006048454220410168,1.1354049063616678,1.0140078135948407,"[16157, 114, 15, 0, 0, 0, 0, 0, 0, 0]"
C2_bce_only,42,Pleural_Thickening,0.027853851642145402,0.11574912550923788,0.00635117785886835,0.8187337932579088,-0.6494386275787736,"[14701, 1033, 369, 126, 39, 13, 3, 2, 0, 0]"
C2_bce_only,42,Hernia,0.0011844011149164896,0.007018699773267588,0.0006459982710580867,1.1818784004629275,0.7255936097036473,"[16266, 10, 4, 2, 4, 0, 0, 0, 0, 0]"
C2_bce_only,123,Atelectasis,0.0762855143439916,0.2588444197258323,0.006785238014122557,0.9210998555364815,-0.10074659520063163,"[11149, 2504, 1235, 643, 371, 197, 123, 42, 22, 0]"
C2_bce_only,123,Cardiomegaly,0.018031229573846872,0.07309191681856185,0.0016435241896156194,0.9747251171977924,-0.15413748240819858,"[15453, 422, 183, 95, 59, 27, 23, 17, 7, 0]"
C2_bce_only,123,Effusion,0.067495443788119,0.23067467307044628,0.018856625985929635,0.8932699827686594,0.12623765920195007,"[12442, 1439, 707, 460, 385, 288, 254, 196, 110, 5]"
C2_bce_only,123,Infiltration,0.12459080522400254,0.4025062278438901,0.02329254719976667,0.7672806502104209,-0.41577797620724266,"[6239, 5193, 2246, 1029, 632, 521, 360, 65, 1, 0]"
C2_bce_only,123,Mass,0.041178465143968376,0.15421695396396556,0.03852896491113226,0.877185704006438,-1.0184697875745918,"[12648, 1627, 675, 415, 260, 181, 165, 149, 124, 42]"
C2_bce_only,123,Nodule,0.04613139926447102,0.17590943980971824,0.009119695980252977,0.8276969344085976,-0.4791142856507566,"[13706, 1343, 548, 262, 190, 141, 79, 16, 1, 0]"
C2_bce_only,123,Pneumonia,0.011381169134445633,0.057448806581477524,0.0016103181707724414,1.078920490400954,0.1660311340259394,"[16222, 63, 1, 0, 0, 0, 0, 0, 0, 0]"
C2_bce_only,123,Pneumothorax,0.0395301577122359,0.14249595476781424,0.006104744636303571,0.8730787413537945,-0.28683088791633643,"[14125, 783, 390, 286, 260, 218, 153, 58, 12, 1]"
C2_bce_only,123,Consolidation,0.034680178939688215,0.13968578057553663,0.0041563840136252025,0.8539081767647716,-0.30766041767450186,"[14479, 1538, 253, 16, 0, 0, 0, 0, 0, 0]"
C2_bce_only,123,Edema,0.016304460047613278,0.06585154231815481,0.003712231108326168,0.985011508847794,0.1758337255969019,"[15670, 402, 149, 40, 18, 6, 1, 0, 0, 0]"
C2_bce_only,123,Emphysema,0.018816111629914957,0.07211066005431993,0.005628313828001966,0.9557525761801594,0.06331516920290137,"[15648, 222, 111, 72, 64, 52, 38, 40, 35, 4]"
C2_bce_only,123,Fibrosis,0.015333372645822223,0.0715804704526296,0.007850092294726144,1.0569379250932827,0.9302437331037748,"[16190, 82, 10, 4, 0, 0, 0, 0, 0, 0]"
C2_bce_only,123,Pleural_Thickening,0.03062494124374271,0.1252700361072598,0.026773106568070734,0.8264981514746917,-1.1041303838341923,"[13683, 1408, 610, 333, 159, 73, 16, 4, 0, 0]"
C2_bce_only,123,Hernia,0.0012226178843701228,0.007674563224153048,0.0011309826769994474,0.9797188948197011,-0.7327441781148817,"[16237, 26, 8, 5, 2, 3, 5, 0, 0, 0]"
C2_bce_only,2026,Atelectasis,0.07642957514698202,0.2600316793483612,0.014115788793030819,0.8380872894048268,-0.24049530200780753,"[11392, 2283, 1048, 650, 392, 218, 159, 107, 34, 3]"
C2_bce_only,2026,Cardiomegaly,0.018384395559356535,0.0776106757804421,0.004617521555013816,0.8995938301332673,-0.045588825146609134,"[15709, 340, 110, 48, 28, 21, 13, 10, 6, 1]"
C2_bce_only,2026,Effusion,0.06933102095965558,0.23545435420846417,0.024102463668539853,0.9394346970613903,0.2902048878865289,"[12514, 1534, 728, 482, 371, 263, 201, 148, 44, 1]"
C2_bce_only,2026,Infiltration,0.1230107726453415,0.39918868860690543,0.01953282886971632,0.8673504718277699,-0.07919702171534947,"[7451, 5134, 1684, 1006, 679, 302, 30, 0, 0, 0]"
C2_bce_only,2026,Mass,0.03552542556294476,0.1353548045431003,0.011557361634195016,1.0830460975578025,-0.10690742738174536,"[13884, 1154, 480, 323, 166, 146, 76, 41, 16, 0]"
C2_bce_only,2026,Nodule,0.04512738037379,0.1729555042768124,0.009249129554531497,1.1535196242329169,0.24312626192954404,"[14016, 1400, 452, 215, 131, 56, 15, 1, 0, 0]"
C2_bce_only,2026,Pneumonia,0.011377497257397446,0.05738463790730506,0.0005473171912194535,1.0798110038340385,0.263655370650394,"[16262, 24, 0, 0, 0, 0, 0, 0, 0, 0]"
C2_bce_only,2026,Pneumothorax,0.03934645490248928,0.14140711987359028,0.0071961419581014355,0.9458614290562686,-0.14913337418705133,"[14328, 733, 352, 261, 207, 156, 138, 79, 28, 4]"
C2_bce_only,2026,Consolidation,0.03483185821844965,0.1391916821650747,0.005261439796678125,0.8934687910774269,-0.40752073828232366,"[14008, 1719, 490, 66, 3, 0, 0, 0, 0, 0]"
C2_bce_only,2026,Edema,0.01599746459103721,0.06499225482991097,0.002980858425354291,1.1658032945789671,0.40666629350233474,"[15558, 508, 160, 40, 15, 5, 0, 0, 0, 0]"
C2_bce_only,2026,Emphysema,0.019180433350711637,0.07403779611812085,0.011185767325337348,0.9424301972534775,0.4602281332047162,"[15806, 146, 96, 63, 41, 38, 31, 31, 30, 4]"
C2_bce_only,2026,Fibrosis,0.01514169206819624,0.06813463628774531,0.0011448744107509523,1.043842639382072,0.07314386722069957,"[15885, 309, 61, 22, 8, 1, 0, 0, 0, 0]"
C2_bce_only,2026,Pleural_Thickening,0.027527962910623562,0.11407887327162029,0.008177602968347047,0.9798108561546006,-0.31640287814554985,"[14767, 1023, 338, 121, 33, 3, 1, 0, 0, 0]"
C2_bce_only,2026,Hernia,0.0012325602327941572,0.007220300171019453,0.0007537735725370871,1.273441536546674,0.9595593396555528,"[16266, 12, 3, 2, 1, 2, 0, 0, 0, 0]"
C3_schedule_only,42,Atelectasis,0.16517360078800492,0.5167854488645909,0.29465997412747147,3.1639840569349245,-1.392760829042389,"[0, 0, 2455, 6757, 4701, 1902, 421, 50, 0, 0]"
C3_schedule_only,42,Cardiomegaly,0.10952025689070438,0.38989112535126924,0.2928831703909493,3.2305697457304126,-2.578827882771173,"[0, 1974, 6545, 4595, 2030, 839, 239, 63, 1, 0]"
C3_schedule_only,42,Effusion,0.15738170278188685,0.49735878754690294,0.28859418634102907,3.0813125131841876,-1.8586258280952432,"[0, 79, 4637, 4776, 2962, 2126, 1328, 378, 0, 0]"
C3_schedule_only,42,Infiltration,0.24071022292939087,0.6743379350094558,0.3395328728859143,3.185223283802402,-1.8855160955919004,"[0, 0, 10, 1031, 7179, 6684, 1381, 1, 0, 0]"
C3_schedule_only,42,Mass,0.11861330239264464,0.41441117560378554,0.28343422314257644,3.2132454778091577,-1.5968336435783061,"[0, 139, 7483, 5511, 2129, 672, 279, 73, 0, 0]"
C3_schedule_only,42,Nodule,0.13519689218352565,0.4538117211851621,0.29886948015043596,3.1710363067856573,-1.4255968897662055,"[0, 0, 3661, 9456, 2336, 618, 201, 14, 0, 0]"
C3_schedule_only,42,Pneumonia,0.09762409410318529,0.3690122686029877,0.2895331552677146,3.412285046013073,-2.0154743596812703,"[0, 275, 8778, 5975, 1239, 19, 0, 0, 0, 0]"
C3_schedule_only,42,Pneumothorax,0.11409211969934167,0.40201396585508925,0.27097828614454134,2.988863814188203,-1.7113605298956467,"[0, 636, 7990, 4528, 1689, 814, 541, 86, 2, 0]"
C3_schedule_only,42,Consolidation,0.12455546376009143,0.4274087077103255,0.2966411701756109,3.2106077083846576,-1.617564913757496,"[0, 127, 6882, 5293, 3483, 499, 2, 0, 0, 0]"
C3_schedule_only,42,Edema,0.08836660039629292,0.33742625746627913,0.2581566394266855,3.434482910067273,-2.169233200675563,"[5, 4364, 6448, 3170, 1519, 676, 101, 3, 0, 0]"
C3_schedule_only,42,Emphysema,0.0859721681720603,0.3353975818769332,0.2542646262055754,3.114752815653642,-2.0316104764944645,"[0, 3180, 7846, 3821, 759, 333, 236, 105, 6, 0]"
C3_schedule_only,42,Fibrosis,0.09882625139530024,0.3715375004962033,0.2862247754899914,4.236528630846285,-1.3260338735334938,"[0, 272, 8629, 6114, 1193, 78, 0, 0, 0, 0]"
C3_schedule_only,42,Pleural_Thickening,0.1348011806934924,0.4502664121088073,0.32267524125138153,3.109195238082789,-2.2428336578172,"[0, 205, 5083, 6392, 3343, 1227, 36, 0, 0, 0]"
C3_schedule_only,42,Hernia,0.033175298215645965,0.19396940101383323,0.17267118150337718,3.9635251957546376,-1.6300404149956589,"[493, 11365, 4160, 224, 30, 7, 5, 2, 0, 0]"
C3_schedule_only,123,Atelectasis,0.18103586331553728,0.549623027583207,0.32059836564288346,3.017014157175766,-1.8717176566819518,"[0, 2, 2070, 5673, 4339, 3217, 883, 101, 1, 0]"
C3_schedule_only,123,Cardiomegaly,0.09001840440100499,0.3442910783706912,0.26050973991600146,3.093586850800477,-2.0114452206883864,"[0, 3081, 7653, 3694, 1242, 448, 137, 28, 3, 0]"
C3_schedule_only,123,Effusion,0.14345952890334113,0.46550813239479577,0.2645350338873879,2.886635738460084,-1.5796651246693076,"[0, 521, 5761, 3963, 2877, 1806, 980, 372, 6, 0]"
C3_schedule_only,123,Infiltration,0.23806773593332697,0.6689697535036356,0.3370974538216873,2.452087657407201,-1.8456771606575344,"[0, 0, 94, 1690, 6780, 5842, 1738, 142, 0, 0]"
C3_schedule_only,123,Mass,0.16927362390321835,0.5251048313205686,0.35860450815178674,3.111537631811851,-2.8008753965405453,"[0, 0, 2499, 6385, 4270, 2079, 768, 266, 19, 0]"
C3_schedule_only,123,Nodule,0.15446010647127714,0.49377368828432355,0.32684594202996436,2.7987763244168495,-2.068934055041101,"[0, 3, 3300, 7080, 3924, 1498, 455, 26, 0, 0]"
C3_schedule_only,123,Pneumonia,0.10823186438617075,0.3954693997245036,0.3090498297943019,4.342435045881014,-1.6788030370894627,"[0, 7, 6279, 8708, 1276, 16, 0, 0, 0, 0]"
C3_schedule_only,123,Pneumothorax,0.12611762648323221,0.4294433258711604,0.2898898506349012,3.177115288960418,-1.906348110773646,"[0, 262, 6867, 5067, 2408, 1000, 630, 52, 0, 0]"
C3_schedule_only,123,Consolidation,0.1322960155423962,0.4443661949170414,0.3086267022896967,3.249493924192133,-1.8030213137061433,"[0, 97, 6034, 5312, 4077, 765, 1, 0, 0, 0]"
C3_schedule_only,123,Edema,0.07694562434209688,0.3113556481279397,0.23920436456963032,3.5835911343424747,-1.4758124880966497,"[0, 5054, 6949, 2894, 1079, 287, 22, 1, 0, 0]"
C3_schedule_only,123,Emphysema,0.08304618977646214,0.329296402588137,0.2492007873965369,3.36821486635518,-1.6511831427520494,"[1, 2918, 8444, 3695, 717, 275, 173, 63, 0, 0]"
C3_schedule_only,123,Fibrosis,0.08216539871191089,0.3307817136663206,0.25612554463035736,4.393007493935228,-0.5803929109842796,"[0, 1480, 10127, 4215, 442, 22, 0, 0, 0, 0]"
C3_schedule_only,123,Pleural_Thickening,0.15835731501473185,0.5026821617026749,0.35771425479184576,3.044765066767799,-2.6743193641436043,"[0, 4, 2344, 7724, 4210, 1736, 268, 0, 0, 0]"
C3_schedule_only,123,Hernia,0.03934338771620499,0.2130862512102444,0.18788427760684023,3.7925310256937,-2.4110398888441407,"[129, 10297, 5210, 525, 93, 25, 5, 2, 0, 0]"
C3_schedule_only,2026,Atelectasis,0.17678315916982626,0.5408918202488372,0.3140700073296083,2.9448812820147214,-1.772280676635352,"[0, 0, 2141, 6088, 4367, 2788, 805, 95, 2, 0]"
C3_schedule_only,2026,Cardiomegaly,0.08932614230278899,0.3415696761780735,0.2577943861253838,3.3047820505335253,-1.860191907441176,"[0, 3911, 6405, 4041, 1429, 386, 96, 18, 0, 0]"
C3_schedule_only,2026,Effusion,0.1523703074616155,0.4874266264670588,0.27861040003806953,3.293851048049534,-1.5486765907150932,"[0, 14, 4758, 5092, 3248, 2055, 917, 202, 0, 0]"
C3_schedule_only,2026,Infiltration,0.23171831286500597,0.6560990896680267,0.326362175354292,3.0210340955817387,-1.7191982243608337,"[0, 0, 24, 1537, 8541, 5050, 1134, 0, 0, 0]"
C3_schedule_only,2026,Mass,0.15089748462529495,0.4863231799921971,0.3329719481880142,3.5907033977193064,-2.2515266563758733,"[0, 5, 3498, 6833, 3987, 1412, 496, 55, 0, 0]"
C3_schedule_only,2026,Nodule,0.17182755521723173,0.5332357139562595,0.3535795577440747,3.8761921264956656,-1.939117562605272,"[0, 0, 202, 8231, 6352, 1261, 238, 2, 0, 0]"
C3_schedule_only,2026,Pneumonia,0.10416325460175868,0.3859700631814361,0.30226677906422694,4.392125138401235,-1.5138267591568133,"[0, 1, 7552, 7577, 1156, 0, 0, 0, 0, 0]"
C3_schedule_only,2026,Pneumothorax,0.12265903090223607,0.423865307521005,0.2862033772927668,3.499032560372854,-1.5763157406860075,"[0, 76, 6769, 6138, 2008, 851, 411, 33, 0, 0]"
C3_schedule_only,2026,Consolidation,0.14531042208270498,0.4740746587240758,0.3294997771423308,3.2761297848888566,-2.038824950568578,"[0, 0, 4261, 6416, 4296, 1311, 2, 0, 0, 0]"
C3_schedule_only,2026,Edema,0.10582281125200353,0.38440518843741694,0.29295653474026767,4.719192082801413,-1.7845819021368599,"[0, 1180, 6862, 5568, 2218, 444, 14, 0, 0, 0]"
C3_schedule_only,2026,Emphysema,0.0772691232127079,0.3157058879359641,0.2389223810120349,3.1418473470703767,-1.4913794174767323,"[0, 3146, 9276, 3028, 426, 195, 132, 73, 10, 0]"
C3_schedule_only,2026,Fibrosis,0.09896673450955044,0.37126903321048094,0.2860307361138401,4.074194889846409,-1.5028199806678477,"[0, 452, 8498, 5844, 1365, 127, 0, 0, 0, 0]"
C3_schedule_only,2026,Pleural_Thickening,0.13656317187672898,0.45594219762178056,0.32767959865528673,3.741956163241554,-1.993780868681339,"[0, 46, 3892, 7955, 3573, 803, 17, 0, 0, 0]"
C3_schedule_only,2026,Hernia,0.038452112725990806,0.21284727536142836,0.18841065826077613,4.376820377706067,-1.3696692094813385,"[32, 10204, 5795, 224, 19, 6, 5, 1, 0, 0]"
C4_noaug_only,42,Atelectasis,0.16552918254153443,0.5173289008815857,0.29552512616787424,3.001960023991215,-1.4600625981483302,"[0, 1, 2595, 6617, 4519, 2006, 471, 76, 1, 0]"
C4_noaug_only,42,Cardiomegaly,0.0993210901175672,0.36445670227607885,0.2747034126316468,3.1790730174502184,-2.3917950455059644,"[1, 3190, 6367, 3968, 1830, 668, 210, 51, 1, 0]"
C4_noaug_only,42,Effusion,0.1524027534915851,0.4864772713193594,0.2805598027618813,2.9879967798549583,-1.7444541140319303,"[0, 92, 4995, 4775, 2916, 1939, 1187, 381, 1, 0]"
C4_noaug_only,42,Infiltration,0.23732106597451932,0.6674881528758713,0.33450164781161734,3.0513412444733046,-1.8130723023697417,"[0, 0, 8, 1159, 7540, 6312, 1265, 2, 0, 0]"
C4_noaug_only,42,Mass,0.11913484337977095,0.4148885188027477,0.2831699618893529,3.035819111489053,-1.7090290369214463,"[0, 266, 7365, 5356, 2183, 722, 296, 95, 3, 0]"
C4_noaug_only,42,Nodule,0.13114987078823181,0.4444071632172423,0.2923217757153383,3.0249057332378166,-1.4380260613431077,"[0, 1, 4638, 8731, 2031, 639, 230, 16, 0, 0]"
C4_noaug_only,42,Pneumonia,0.09005864316857261,0.35066000014999865,0.27628602721355766,3.3047769094304478,-1.8951822219393368,"[0, 545, 9857, 4943, 922, 19, 0, 0, 0, 0]"
C4_noaug_only,42,Pneumothorax,0.1134989509942573,0.40049076218379637,0.2694468702437677,2.976016656227117,-1.6741270422041805,"[0, 668, 8134, 4344, 1714, 851, 476, 95, 4, 0]"
C4_noaug_only,42,Consolidation,0.12150331742821537,0.41999385141723355,0.29095536716443565,2.9943622073033667,-1.6455924192251168,"[0, 321, 6918, 5301, 3235, 509, 2, 0, 0, 0]"
C4_noaug_only,42,Edema,0.081072360010359,0.31934772984714416,0.24502205953456957,3.1929458860081876,-2.0362016062907404,"[3, 5382, 6189, 2840, 1242, 525, 98, 7, 0, 0]"
C4_noaug_only,42,Emphysema,0.0874279701561121,0.33854726456831263,0.2560328740252978,2.871311535724208,-2.1587203703356996,"[0, 3233, 7669, 3821, 877, 329, 219, 111, 27, 0]"
